PR6	13	25/05/2020 19:44:48	25/05/2020 19:45:10	21 segundos
NM1	13	25/05/2020 19:44:37	25/05/2020 19:45:12	34 segundos
NM2	13	25/05/2020 19:44:40	25/05/2020 19:45:15	34 segundos
NM3	13	25/05/2020 19:44:42	25/05/2020 19:45:17	34 segundos
NM4	13	25/05/2020 19:44:44	25/05/2020 19:45:19	34 segundos
NM5	13	25/05/2020 19:44:46	25/05/2020 19:45:20	34 segundos
PR7	13	25/05/2020 19:44:51	25/05/2020 19:45:22	31 segundos
PR8	13	25/05/2020 19:44:54	25/05/2020 19:45:24	29 segundos
NM9	13	25/05/2020 19:44:57	25/05/2020 19:45:25	28 segundos
NM10	13	25/05/2020 19:45:02	25/05/2020 19:45:27	25 segundos
