PR2	7	27/05/2020 19:49:06	27/05/2020 19:53:13	4 minutos
PR6	7	27/05/2020 19:49:18	27/05/2020 19:53:17	3 minutos
PR8	7	27/05/2020 19:49:23	27/05/2020 19:53:20	3 minutos
PR10	7	27/05/2020 19:49:29	27/05/2020 19:53:22	3 minutos
PR12	7	27/05/2020 19:49:34	27/05/2020 19:53:24	3 minutos
NM1	7	27/05/2020 19:48:56	27/05/2020 19:53:26	4 minutos
NM3	7	27/05/2020 19:49:09	27/05/2020 19:53:28	4 minutos
PR13	7	27/05/2020 19:49:37	27/05/2020 19:53:29	3 minutos
NM4	7	27/05/2020 19:49:12	27/05/2020 19:53:32	4 minutos
PR14	7	27/05/2020 19:49:39	27/05/2020 19:53:34	3 minutos
PR15	13	27/05/2020 19:49:41	27/05/2020 19:53:43	4 minutos
NM5	13	27/05/2020 19:49:15	27/05/2020 19:53:47	4 minutos
NM7	13	27/05/2020 19:49:21	27/05/2020 19:53:49	4 minutos
NM9	13	27/05/2020 19:49:26	27/05/2020 19:53:51	4 minutos
NM11	13	27/05/2020 19:49:32	27/05/2020 19:53:52	4 minutos
