NM1	2	22/05/2020 20:11:33	22/05/2020 20:11:33	um momento
PR2	10	22/05/2020 20:11:33	22/05/2020 20:13:42	2 minutos
NM3	1	22/05/2020 20:11:33	22/05/2020 20:13:42	2 minutos
PR4	3	22/05/2020 20:11:33	22/05/2020 20:13:42	2 minutos
NM1	2	22/05/2020 20:15:03	22/05/2020 20:15:03	um momento
PR2	10	22/05/2020 20:15:03	22/05/2020 20:15:16	12 segundos
NM3	1	22/05/2020 20:15:03	22/05/2020 20:15:16	12 segundos
NM1	2	22/05/2020 20:15:51	22/05/2020 20:15:51	um momento
PR2	10	22/05/2020 20:15:51	22/05/2020 20:15:55	3 segundos
NM3	1	22/05/2020 20:15:51	22/05/2020 20:15:55	3 segundos
NM1	2	22/05/2020 20:16:34	22/05/2020 20:16:34	um momento
NM3	1	22/05/2020 20:16:34	22/05/2020 20:16:36	2 segundos
NM1	2	22/05/2020 20:17:07	22/05/2020 20:17:07	um momento
NM3	1	22/05/2020 20:17:07	22/05/2020 20:17:21	13 segundos
